"qa_id","note_id","qa_score","error_count","compliance_flag","inserted_at"
"QA000041","N037419","85.55",1,"Yes","2026-01-08 03:11:25.735226"
"QA000042","N001572","96.91",3,"Yes","2026-01-08 03:11:25.735226"
"QA000043","N033440","92.75",2,"Yes","2026-01-08 03:11:25.735226"
"QA000044","N047581","93.33",3,"No","2026-01-08 03:11:25.735226"
"QA000045","N031091","83.14",0,"Yes","2026-01-08 03:11:25.735226"
"QA000046","N010349","78.53",3,"Yes","2026-01-08 03:11:25.735226"
"QA000047","N004948","74.90",5,"Yes","2026-01-08 03:11:25.735226"
"QA000048","N013398","83.39",2,"Yes","2026-01-08 03:11:25.735226"
"QA000049","N020206","92.46",2,"Yes","2026-01-08 03:11:25.735226"
"QA000050","N030111","79.12",3,"Yes","2026-01-08 03:11:25.735226"
"QA000051","N014676","67.49",1,"Yes","2026-01-08 03:11:25.735226"
"QA000052","N029624","63.41",1,"Yes","2026-01-08 03:11:25.735226"
"QA000053","N012577","74.32",0,"Yes","2026-01-08 03:11:25.735226"
"QA000054","N029324","92.40",1,"Yes","2026-01-08 03:11:25.735226"
"QA000055","N011397","87.70",0,"Yes","2026-01-08 03:11:25.735226"
"QA000056","N034515","82.61",3,"Yes","2026-01-08 03:11:25.735226"
"QA000057","N011066","86.90",0,"Yes","2026-01-08 03:11:25.735226"
"QA000058","N026003","72.63",0,"Yes","2026-01-08 03:11:25.735226"
"QA000059","N022904","90.12",1,"Yes","2026-01-08 03:11:25.735226"
"QA000060","N008724","82.62",1,"Yes","2026-01-08 03:11:25.735226"
"QA000061","N018884","97.60",2,"Yes","2026-01-08 03:11:25.735226"
"QA000062","N013413","92.61",0,"No","2026-01-08 03:11:25.735226"
"QA000063","N013833","100.00",1,"Yes","2026-01-08 03:11:25.735226"
"QA000064","N011209","74.12",2,"No","2026-01-08 03:11:25.735226"
"QA000065","N014116","100.00",2,"Yes","2026-01-08 03:11:25.735226"
"QA000066","N025361","80.57",3,"Yes","2026-01-08 03:11:25.735226"
"QA000067","N036744","88.16",4,"Yes","2026-01-08 03:11:25.735226"
"QA000068","N049252","75.18",5,"Yes","2026-01-08 03:11:25.735226"
"QA000069","N048312","84.59",2,"Yes","2026-01-08 03:11:25.735226"
"QA000070","N033580","87.35",0,"Yes","2026-01-08 03:11:25.735226"
"QA000071","N024052","81.41",2,"Yes","2026-01-08 03:11:25.735226"
"QA000072","N044619","91.76",3,"No","2026-01-08 03:11:25.735226"
"QA000073","N049164","98.03",0,"No","2026-01-08 03:11:25.735226"
"QA000074","N040207","78.27",3,"Yes","2026-01-08 03:11:25.735226"
"QA000075","N037557","63.54",5,"Yes","2026-01-08 03:11:25.735226"
"QA000076","N047379","77.37",2,"Yes","2026-01-08 03:11:25.735226"
"QA000077","N043772","89.09",4,"Yes","2026-01-08 03:11:25.735226"
"QA000078","N000100","84.57",4,"Yes","2026-01-08 03:11:25.735226"
"QA000079","N001322","62.87",0,"Yes","2026-01-08 03:11:25.735226"
"QA000080","N046597","78.09",0,"Yes","2026-01-08 03:11:25.735226"
"QA000081","N014637","72.67",3,"Yes","2026-01-08 03:11:25.735226"
"QA000082","N003406","75.22",0,"Yes","2026-01-08 03:11:25.735226"
"QA000083","N040067","76.72",4,"Yes","2026-01-08 03:11:25.735226"
"QA000084","N022164","88.95",1,"No","2026-01-08 03:11:25.735226"
"QA000085","N027154","66.08",2,"No","2026-01-08 03:11:25.735226"
"QA000086","N012289","84.75",1,"No","2026-01-08 03:11:25.735226"
"QA000087","N043871","70.30",3,"Yes","2026-01-08 03:11:25.735226"
"QA000088","N023127","75.80",0,"Yes","2026-01-08 03:11:25.735226"
"QA000089","N024157","92.71",2,"Yes","2026-01-08 03:11:25.735226"
"QA000090","N021013","86.38",2,"Yes","2026-01-08 03:11:25.735226"
"QA000091","N009728","68.32",2,"Yes","2026-01-08 03:11:25.735226"
"QA000092","N039511","65.50",1,"Yes","2026-01-08 03:11:25.735226"
"QA000093","N049597","71.30",2,"No","2026-01-08 03:11:25.735226"
"QA000094","N015790","63.74",0,"Yes","2026-01-08 03:11:25.735226"
"QA000095","N024618","76.10",0,"Yes","2026-01-08 03:11:25.735226"
"QA000096","N045493","71.75",2,"Yes","2026-01-08 03:11:25.735226"
"QA000097","N022858","89.86",2,"Yes","2026-01-08 03:11:25.735226"
"QA000098","N046183","69.35",1,"No","2026-01-08 03:11:25.735226"
"QA000099","N021330","81.13",0,"No","2026-01-08 03:11:25.735226"
"QA000100","N004180","96.89",2,"Yes","2026-01-08 03:11:25.735226"
"QA000101","N034577","80.96",4,"Yes","2026-01-08 03:11:25.735226"
"QA000102","N046578","66.58",1,"Yes","2026-01-08 03:11:25.735226"
"QA000103","N016057","77.56",0,"Yes","2026-01-08 03:11:25.735226"
"QA000104","N003703","88.62",0,"Yes","2026-01-08 03:11:25.735226"
"QA000105","N015029","78.39",1,"Yes","2026-01-08 03:11:25.735226"
"QA000106","N005978","77.28",2,"Yes","2026-01-08 03:11:25.735226"
"QA000107","N036443","88.53",1,"Yes","2026-01-08 03:11:25.735226"
"QA000108","N037611","86.02",1,"Yes","2026-01-08 03:11:25.735226"
"QA000109","N018494","74.58",1,"Yes","2026-01-08 03:11:25.735226"
"QA000110","N031534","82.52",4,"Yes","2026-01-08 03:11:25.735226"
"QA000111","N032772","63.04",1,"No","2026-01-08 03:11:25.735226"
"QA000112","N039424","62.81",2,"Yes","2026-01-08 03:11:25.735226"
"QA000113","N030490","86.36",2,"Yes","2026-01-08 03:11:25.735226"
"QA000114","N034587","72.95",4,"Yes","2026-01-08 03:11:25.735226"
"QA000115","N013885","81.21",3,"No","2026-01-08 03:11:25.735226"
"QA000116","N021662","84.18",0,"Yes","2026-01-08 03:11:25.735226"
"QA000117","N007916","100.00",2,"Yes","2026-01-08 03:11:25.735226"
"QA000118","N032569","92.41",1,"Yes","2026-01-08 03:11:25.735226"
"QA000119","N048196","80.62",2,"Yes","2026-01-08 03:11:25.735226"
"QA000120","N039699","87.80",2,"Yes","2026-01-08 03:11:25.735226"
"QA000121","N032729","90.71",3,"Yes","2026-01-08 03:11:25.735226"
"QA000122","N004483","79.84",0,"Yes","2026-01-08 03:11:25.735226"
"QA000123","N047272","85.01",2,"No","2026-01-08 03:11:25.735226"
"QA000124","N014973","71.92",3,"No","2026-01-08 03:11:25.735226"
"QA000125","N021000","77.24",2,"No","2026-01-08 03:11:25.735226"
"QA000126","N017367","70.91",1,"Yes","2026-01-08 03:11:25.735226"
"QA000127","N018130","86.88",3,"Yes","2026-01-08 03:11:25.735226"
"QA000128","N011041","87.29",1,"Yes","2026-01-08 03:11:25.735226"
"QA000129","N043954","84.51",2,"Yes","2026-01-08 03:11:25.735226"
"QA000130","N002317","85.31",3,"Yes","2026-01-08 03:11:25.735226"
"QA000131","N047322","64.57",1,"Yes","2026-01-08 03:11:25.735226"
"QA000132","N008156","92.32",2,"Yes","2026-01-08 03:11:25.735226"
"QA000133","N034101","68.89",3,"Yes","2026-01-08 03:11:25.735226"
"QA000134","N023871","80.25",3,"Yes","2026-01-08 03:11:25.735226"
"QA000135","N015930","89.80",1,"Yes","2026-01-08 03:11:25.735226"
"QA000136","N004426","80.50",1,"Yes","2026-01-08 03:11:25.735226"
"QA000137","N034992","70.62",1,"Yes","2026-01-08 03:11:25.735226"
"QA000138","N030736","73.11",1,"No","2026-01-08 03:11:25.735226"
"QA000139","N017126","70.92",1,"Yes","2026-01-08 03:11:25.735226"
"QA000140","N006310","74.12",1,"Yes","2026-01-08 03:11:25.735226"
"QA000141","N041229","75.09",2,"Yes","2026-01-08 03:11:25.735226"
"QA000142","N010975","92.07",1,"Yes","2026-01-08 03:11:25.735226"
"QA000143","N041051","96.63",1,"Yes","2026-01-08 03:11:25.735226"
"QA000144","N028049","85.17",3,"Yes","2026-01-08 03:11:25.735226"
"QA000145","N011792","88.42",3,"Yes","2026-01-08 03:11:25.735226"
"QA000146","N021603","91.54",1,"Yes","2026-01-08 03:11:25.735226"
"QA000147","N000669","96.75",0,"Yes","2026-01-08 03:11:25.735226"
"QA000148","N021617","85.87",1,"Yes","2026-01-08 03:11:25.735226"
"QA000149","N016572","74.36",2,"Yes","2026-01-08 03:11:25.735226"
"QA000150","N001839","80.33",4,"Yes","2026-01-08 03:11:25.735226"
"QA000151","N039362","77.19",1,"Yes","2026-01-08 03:11:25.735226"
"QA000152","N014872","78.54",2,"Yes","2026-01-08 03:11:25.735226"
"QA000153","N022176","84.05",1,"Yes","2026-01-08 03:11:25.735226"
"QA000154","N012457","81.86",1,"Yes","2026-01-08 03:11:25.735226"
"QA000155","N020123","81.46",3,"Yes","2026-01-08 03:11:25.735226"
"QA000156","N038792","78.26",2,"Yes","2026-01-08 03:11:25.735226"
"QA000157","N022640","78.64",6,"Yes","2026-01-08 03:11:25.735226"
"QA000158","N005546","83.68",3,"Yes","2026-01-08 03:11:25.735226"
"QA000159","N025810","83.26",2,"Yes","2026-01-08 03:11:25.735226"
"QA000160","N027802","91.81",0,"Yes","2026-01-08 03:11:25.735226"
"QA000161","N017772","80.16",1,"Yes","2026-01-08 03:11:25.735226"
"QA000162","N046673","93.00",2,"Yes","2026-01-08 03:11:25.735226"
"QA000163","N018385","70.15",1,"Yes","2026-01-08 03:11:25.735226"
"QA000164","N047138","81.05",1,"Yes","2026-01-08 03:11:25.735226"
"QA000165","N007844","88.96",1,"Yes","2026-01-08 03:11:25.735226"
"QA000166","N037075","79.11",1,"Yes","2026-01-08 03:11:25.735226"
"QA000167","N000365","66.26",0,"Yes","2026-01-08 03:11:25.735226"
"QA000168","N023213","94.69",0,"Yes","2026-01-08 03:11:25.735226"
"QA000169","N012621","75.77",1,"Yes","2026-01-08 03:11:25.735226"
"QA000170","N037904","99.33",1,"No","2026-01-08 03:11:25.735226"
"QA000171","N047830","87.12",0,"Yes","2026-01-08 03:11:25.735226"
"QA000172","N010929","92.31",3,"Yes","2026-01-08 03:11:25.735226"
"QA000173","N032668","72.99",4,"Yes","2026-01-08 03:11:25.735226"
"QA000174","N044176","71.77",5,"No","2026-01-08 03:11:25.735226"
"QA000175","N044604","68.14",1,"Yes","2026-01-08 03:11:25.735226"
"QA000176","N046225","75.44",2,"Yes","2026-01-08 03:11:25.735226"
"QA000177","N023973","70.90",3,"Yes","2026-01-08 03:11:25.735226"
"QA000178","N040365","83.66",1,"Yes","2026-01-08 03:11:25.735226"
"QA000179","N009642","85.03",3,"Yes","2026-01-08 03:11:25.735226"
"QA000180","N027017","84.18",2,"Yes","2026-01-08 03:11:25.735226"
"QA000181","N012789","78.79",0,"Yes","2026-01-08 03:11:25.735226"
"QA000182","N037139","88.13",4,"Yes","2026-01-08 03:11:25.735226"
"QA000183","N033976","85.32",0,"Yes","2026-01-08 03:11:25.735226"
"QA000184","N016753","80.01",1,"No","2026-01-08 03:11:25.735226"
"QA000185","N045631","88.33",1,"Yes","2026-01-08 03:11:25.735226"
"QA000186","N037341","85.68",3,"Yes","2026-01-08 03:11:25.735226"
"QA000187","N027509","80.23",2,"Yes","2026-01-08 03:11:25.735226"
"QA000188","N014548","75.84",0,"Yes","2026-01-08 03:11:25.735226"
"QA000189","N027746","71.25",1,"Yes","2026-01-08 03:11:25.735226"
"QA000190","N003882","77.11",1,"Yes","2026-01-08 03:11:25.735226"
"QA000191","N034126","77.28",3,"Yes","2026-01-08 03:11:25.735226"
"QA000192","N039602","87.51",4,"Yes","2026-01-08 03:11:25.735226"
"QA000193","N048629","77.39",1,"Yes","2026-01-08 03:11:25.735226"
"QA000194","N030610","85.17",0,"Yes","2026-01-08 03:11:25.735226"
"QA000195","N020253","72.42",2,"Yes","2026-01-08 03:11:25.735226"
"QA000196","N044690","66.66",2,"Yes","2026-01-08 03:11:25.735226"
"QA000197","N015981","84.25",1,"Yes","2026-01-08 03:11:25.735226"
"QA000198","N037868","68.35",3,"Yes","2026-01-08 03:11:25.735226"
"QA000199","N044713","81.01",2,"Yes","2026-01-08 03:11:25.735226"
"QA000200","N020041","92.34",2,"Yes","2026-01-08 03:11:25.735226"
"QA000201","N013774","80.41",0,"Yes","2026-01-08 03:11:25.735226"
"QA000202","N037608","81.40",3,"Yes","2026-01-08 03:11:25.735226"
"QA000203","N048242","72.59",2,"No","2026-01-08 03:11:25.735226"
"QA000204","N020860","91.98",1,"No","2026-01-08 03:11:25.735226"
"QA000205","N033356","75.33",1,"Yes","2026-01-08 03:11:25.735226"
"QA000206","N010245","77.72",1,"Yes","2026-01-08 03:11:25.735226"
"QA000207","N007592","92.43",1,"Yes","2026-01-08 03:11:25.735226"
"QA000208","N004034","78.62",2,"No","2026-01-08 03:11:25.735226"
"QA000209","N027577","76.22",0,"Yes","2026-01-08 03:11:25.735226"
"QA000210","N012390","72.12",1,"Yes","2026-01-08 03:11:25.735226"
"QA000211","N039649","99.62",3,"Yes","2026-01-08 03:11:25.735226"
"QA000212","N034668","75.61",2,"Yes","2026-01-08 03:11:25.735226"
"QA000213","N027550","79.29",3,"Yes","2026-01-08 03:11:25.735226"
"QA000214","N019564","100.00",2,"Yes","2026-01-08 03:11:25.735226"
"QA000215","N025543","70.74",2,"Yes","2026-01-08 03:11:25.735226"
"QA000216","N036331","87.94",3,"Yes","2026-01-08 03:11:25.735226"
"QA000217","N046323","74.91",2,"Yes","2026-01-08 03:11:25.735226"
"QA000218","N019704","100.00",2,"Yes","2026-01-08 03:11:25.735226"
"QA000219","N009290","96.03",3,"Yes","2026-01-08 03:11:25.735226"
"QA000220","N037203","90.09",4,"Yes","2026-01-08 03:11:25.735226"
"QA000221","N027905","60.79",0,"Yes","2026-01-08 03:11:25.735226"
"QA000222","N011918","70.49",4,"Yes","2026-01-08 03:11:25.735226"
"QA000223","N026342","81.46",2,"Yes","2026-01-08 03:11:25.735226"
"QA000224","N013488","86.80",1,"Yes","2026-01-08 03:11:25.735226"
"QA000225","N035432","85.05",1,"Yes","2026-01-08 03:11:25.735226"
"QA000226","N021167","68.80",4,"Yes","2026-01-08 03:11:25.735226"
"QA000227","N007717","75.42",8,"Yes","2026-01-08 03:11:25.735226"
"QA000228","N047078","67.48",5,"Yes","2026-01-08 03:11:25.735226"
"QA000229","N044166","66.55",2,"Yes","2026-01-08 03:11:25.735226"
"QA000230","N008206","78.40",2,"Yes","2026-01-08 03:11:25.735226"
"QA000231","N044964","96.41",1,"Yes","2026-01-08 03:11:25.735226"
"QA000232","N014644","81.41",1,"Yes","2026-01-08 03:11:25.735226"
"QA000233","N001224","76.70",0,"Yes","2026-01-08 03:11:25.735226"
"QA000234","N048501","90.52",3,"Yes","2026-01-08 03:11:25.735226"
"QA000235","N036647","79.92",3,"Yes","2026-01-08 03:11:25.735226"
"QA000236","N036741","87.12",2,"Yes","2026-01-08 03:11:25.735226"
"QA000237","N014791","99.73",4,"Yes","2026-01-08 03:11:25.735226"
"QA000238","N025159","82.71",2,"Yes","2026-01-08 03:11:25.735226"
"QA000239","N027677","78.69",0,"Yes","2026-01-08 03:11:25.735226"
"QA000240","N017819","88.33",3,"Yes","2026-01-08 03:11:25.735226"
"QA000241","N049462","80.41",0,"Yes","2026-01-08 03:11:25.735226"
"QA000242","N045800","72.00",2,"Yes","2026-01-08 03:11:25.735226"
"QA000243","N023367","76.25",1,"No","2026-01-08 03:11:25.735226"
"QA000244","N005495","82.31",1,"Yes","2026-01-08 03:11:25.735226"
"QA000245","N007891","78.44",2,"Yes","2026-01-08 03:11:25.735226"
"QA000246","N029317","90.61",1,"Yes","2026-01-08 03:11:25.735226"
"QA000247","N029161","79.10",1,"Yes","2026-01-08 03:11:25.735226"
"QA000248","N006262","78.69",0,"No","2026-01-08 03:11:25.735226"
"QA000249","N043825","86.67",1,"Yes","2026-01-08 03:11:25.735226"
"QA000250","N047277","74.15",2,"Yes","2026-01-08 03:11:25.735226"
"QA000251","N034445","82.98",0,"No","2026-01-08 03:11:25.735226"
"QA000252","N043590","69.84",2,"Yes","2026-01-08 03:11:25.735226"
"QA000253","N045981","73.89",3,"Yes","2026-01-08 03:11:25.735226"
"QA000254","N019299","76.23",4,"Yes","2026-01-08 03:11:25.735226"
"QA000255","N008103","80.29",3,"No","2026-01-08 03:11:25.735226"
"QA000256","N001179","77.25",1,"Yes","2026-01-08 03:11:25.735226"
"QA000257","N037225","68.98",2,"Yes","2026-01-08 03:11:25.735226"
"QA000258","N003086","66.85",2,"Yes","2026-01-08 03:11:25.735226"
"QA000259","N032727","87.80",3,"Yes","2026-01-08 03:11:25.735226"
"QA000260","N007685","86.99",0,"Yes","2026-01-08 03:11:25.735226"
"QA000261","N047458","86.62",2,"Yes","2026-01-08 03:11:25.735226"
"QA000262","N014702","60.05",2,"Yes","2026-01-08 03:11:25.735226"
"QA000263","N027729","81.94",1,"Yes","2026-01-08 03:11:25.735226"
"QA000264","N039081","77.34",1,"Yes","2026-01-08 03:11:25.735226"
"QA000265","N023925","80.49",2,"Yes","2026-01-08 03:11:25.735226"
"QA000266","N008070","74.82",0,"Yes","2026-01-08 03:11:25.735226"
"QA000267","N025726","64.97",3,"Yes","2026-01-08 03:11:25.735226"
"QA000268","N014452","95.71",5,"Yes","2026-01-08 03:11:25.735226"
"QA000269","N008268","67.85",3,"Yes","2026-01-08 03:11:25.735226"
"QA000270","N038941","90.53",3,"Yes","2026-01-08 03:11:25.735226"
"QA000271","N011145","79.26",0,"No","2026-01-08 03:11:25.735226"
"QA000272","N030786","84.37",2,"Yes","2026-01-08 03:11:25.735226"
"QA000273","N028160","85.57",3,"Yes","2026-01-08 03:11:25.735226"
"QA000274","N034131","81.85",1,"No","2026-01-08 03:11:25.735226"
"QA000275","N006962","73.96",2,"Yes","2026-01-08 03:11:25.735226"
"QA000276","N028497","84.23",3,"No","2026-01-08 03:11:25.735226"
"QA000277","N007053","88.09",4,"Yes","2026-01-08 03:11:25.735226"
"QA000278","N014311","79.10",0,"Yes","2026-01-08 03:11:25.735226"
"QA000279","N019028","78.48",3,"Yes","2026-01-08 03:11:25.735226"
"QA000280","N013116","84.79",3,"No","2026-01-08 03:11:25.735226"
"QA000281","N025404","90.63",1,"Yes","2026-01-08 03:11:25.735226"
"QA000282","N029136","89.99",1,"No","2026-01-08 03:11:25.735226"
"QA000283","N012755","99.98",1,"Yes","2026-01-08 03:11:25.735226"
"QA000284","N047841","67.09",2,"Yes","2026-01-08 03:11:25.735226"
"QA000285","N046773","93.50",3,"Yes","2026-01-08 03:11:25.735226"
"QA000286","N028193","82.39",0,"Yes","2026-01-08 03:11:25.735226"
"QA000287","N004878","84.80",2,"Yes","2026-01-08 03:11:25.735226"
"QA000288","N046613","83.39",0,"Yes","2026-01-08 03:11:25.735226"
"QA000289","N012795","52.95",2,"Yes","2026-01-08 03:11:25.735226"
"QA000290","N037907","99.93",2,"Yes","2026-01-08 03:11:25.735226"
"QA000291","N016113","64.38",3,"Yes","2026-01-08 03:11:25.735226"
"QA000292","N041932","77.69",2,"Yes","2026-01-08 03:11:25.735226"
"QA000293","N046630","68.29",3,"Yes","2026-01-08 03:11:25.735226"
"QA000294","N031088","85.32",3,"Yes","2026-01-08 03:11:25.735226"
"QA000295","N012409","88.83",3,"Yes","2026-01-08 03:11:25.735226"
"QA000296","N037436","76.57",1,"Yes","2026-01-08 03:11:25.735226"
"QA000297","N003868","58.58",2,"Yes","2026-01-08 03:11:25.735226"
"QA000298","N007982","94.95",4,"Yes","2026-01-08 03:11:25.735226"
"QA000299","N025472","83.91",2,"Yes","2026-01-08 03:11:25.735226"
"QA000300","N030402","67.59",1,"Yes","2026-01-08 03:11:25.735226"
"QA000301","N001815","85.72",4,"Yes","2026-01-08 03:11:25.735226"
"QA000302","N022853","73.00",2,"Yes","2026-01-08 03:11:25.735226"
"QA000303","N019920","100.00",0,"Yes","2026-01-08 03:11:25.735226"
"QA000304","N019895","88.70",0,"Yes","2026-01-08 03:11:25.735226"
"QA000305","N045138","71.94",2,"Yes","2026-01-08 03:11:25.735226"
"QA000306","N002786","76.69",1,"Yes","2026-01-08 03:11:25.735226"
"QA000307","N048842","77.79",1,"Yes","2026-01-08 03:11:25.735226"
"QA000308","N020741","87.02",2,"Yes","2026-01-08 03:11:25.735226"
"QA000309","N012222","71.14",3,"Yes","2026-01-08 03:11:25.735226"
"QA000310","N030033","100.00",4,"Yes","2026-01-08 03:11:25.735226"
"QA000311","N046708","80.93",3,"Yes","2026-01-08 03:11:25.735226"
"QA000312","N024737","61.66",2,"Yes","2026-01-08 03:11:25.735226"
"QA000313","N028141","90.81",3,"Yes","2026-01-08 03:11:25.735226"
"QA000314","N015688","79.46",0,"Yes","2026-01-08 03:11:25.735226"
"QA000315","N011261","84.58",2,"Yes","2026-01-08 03:11:25.735226"
"QA000316","N029339","91.11",3,"Yes","2026-01-08 03:11:25.735226"
"QA000317","N002478","80.94",2,"Yes","2026-01-08 03:11:25.735226"
"QA000318","N029344","97.83",2,"Yes","2026-01-08 03:11:25.735226"
"QA000319","N015475","84.09",4,"Yes","2026-01-08 03:11:25.735226"
"QA000320","N012554","84.23",0,"No","2026-01-08 03:11:25.735226"
"QA000321","N018899","98.10",3,"Yes","2026-01-08 03:11:25.735226"
"QA000322","N046281","98.83",2,"Yes","2026-01-08 03:11:25.735226"
"QA000323","N014424","72.24",0,"Yes","2026-01-08 03:11:25.735226"
"QA000324","N009333","82.71",3,"Yes","2026-01-08 03:11:25.735226"
"QA000325","N003724","75.91",3,"Yes","2026-01-08 03:11:25.735226"
"QA000326","N035514","93.87",0,"Yes","2026-01-08 03:11:25.735226"
"QA000327","N034506","74.43",3,"Yes","2026-01-08 03:11:25.735226"
"QA000328","N009027","71.83",2,"Yes","2026-01-08 03:11:25.735226"
"QA000329","N001692","88.27",0,"Yes","2026-01-08 03:11:25.735226"
"QA000330","N029218","75.36",0,"Yes","2026-01-08 03:11:25.735226"
"QA000331","N040244","76.37",2,"Yes","2026-01-08 03:11:25.735226"
"QA000332","N008337","90.87",2,"Yes","2026-01-08 03:11:25.735226"
"QA000333","N024923","81.72",3,"Yes","2026-01-08 03:11:25.735226"
"QA000334","N029783","79.17",1,"Yes","2026-01-08 03:11:25.735226"
"QA000335","N010434","93.32",2,"Yes","2026-01-08 03:11:25.735226"
"QA000336","N019852","52.38",1,"Yes","2026-01-08 03:11:25.735226"
"QA000337","N041574","83.86",1,"Yes","2026-01-08 03:11:25.735226"
"QA000338","N011607","82.24",1,"Yes","2026-01-08 03:11:25.735226"
"QA000339","N003229","98.00",6,"Yes","2026-01-08 03:11:25.735226"
"QA000340","N034694","100.00",3,"Yes","2026-01-08 03:11:25.735226"
"QA000341","N043038","85.50",1,"Yes","2026-01-08 03:11:25.735226"
"QA000342","N027982","75.36",2,"No","2026-01-08 03:11:25.735226"
"QA000343","N003096","84.33",4,"Yes","2026-01-08 03:11:25.735226"
"QA000344","N044333","93.37",1,"Yes","2026-01-08 03:11:25.735226"
"QA000345","N001004","77.49",2,"Yes","2026-01-08 03:11:25.735226"
"QA000346","N028167","61.34",1,"Yes","2026-01-08 03:11:25.735226"
"QA000347","N026108","89.61",2,"Yes","2026-01-08 03:11:25.735226"
"QA000348","N040923","60.54",3,"Yes","2026-01-08 03:11:25.735226"
"QA000349","N013847","100.00",0,"Yes","2026-01-08 03:11:25.735226"
"QA000350","N000689","84.47",3,"Yes","2026-01-08 03:11:25.735226"
"QA000351","N018826","53.04",2,"Yes","2026-01-08 03:11:25.735226"
"QA000352","N017116","79.70",3,"Yes","2026-01-08 03:11:25.735226"
"QA000353","N046960","70.73",4,"No","2026-01-08 03:11:25.735226"
"QA000354","N011633","67.59",3,"No","2026-01-08 03:11:25.735226"
"QA000355","N005061","65.84",1,"Yes","2026-01-08 03:11:25.735226"
"QA000356","N031442","72.15",1,"Yes","2026-01-08 03:11:25.735226"
"QA000357","N025125","100.00",0,"Yes","2026-01-08 03:11:25.735226"
"QA000358","N015282","71.99",0,"Yes","2026-01-08 03:11:25.735226"
"QA000359","N021890","63.53",5,"Yes","2026-01-08 03:11:25.735226"
"QA000360","N021933","67.65",7,"Yes","2026-01-08 03:11:25.735226"
"QA000361","N036272","95.01",3,"Yes","2026-01-08 03:11:25.735226"
"QA000362","N012064","77.42",3,"No","2026-01-08 03:11:25.735226"
"QA000363","N029509","83.10",2,"Yes","2026-01-08 03:11:25.735226"
"QA000364","N019354","64.73",3,"Yes","2026-01-08 03:11:25.735226"
"QA000365","N011781","91.99",3,"No","2026-01-08 03:11:25.735226"
"QA000366","N039204","65.92",4,"Yes","2026-01-08 03:11:25.735226"
"QA000367","N040476","84.94",1,"Yes","2026-01-08 03:11:25.735226"
"QA000368","N040826","71.29",1,"Yes","2026-01-08 03:11:25.735226"
